City,State short,State full,County,City alias
Chicago,IL,Illinois,COOK,Jt Weeker Isc
Chicago,IL,Illinois,COOK,Chicago
Oak Park,IL,Illinois,COOK,Oak Park
River Forest,IL,Illinois,COOK,River Forest
Wood Dale,IL,Illinois,DUPAGE,Inktel Marketing
Wood Dale,IL,Illinois,DUPAGE,Bensenville
Beecher,IL,Illinois,WILL,Eagle Lake
Beecher,IL,Illinois,WILL,Sollitt
Beecher,IL,Illinois,WILL,Goodenow
Beecher,IL,Illinois,WILL,Beecher
Berwyn,IL,Illinois,COOK,Berwyn
Berwyn,IL,Illinois,COOK,Forest View
Berwyn,IL,Illinois,COOK,Stickney
Crest Hill,IL,Illinois,WILL,Crest Hill
Crest Hill,IL,Illinois,WILL,Joliet
Shorewood,IL,Illinois,WILL,Joliet
Shorewood,IL,Illinois,WILL,Shorewood
Blue Island,IL,Illinois,COOK,Dixmoor
Blue Island,IL,Illinois,COOK,Blue Island
Braceville,IL,Illinois,GRUNDY,Braceville
Braceville,IL,Illinois,GRUNDY,Godley
Braidwood,IL,Illinois,WILL,Braidwood
Calumet City,IL,Illinois,COOK,Calumet City
Channahon,IL,Illinois,WILL,Channahon
Chicago Heights,IL,Illinois,COOK,S Chicago Hts
Chicago Heights,IL,Illinois,COOK,Chicago Heights
Chicago Heights,IL,Illinois,COOK,Lynwood
Chicago Heights,IL,Illinois,COOK,S Chicago Heights
Chicago Heights,IL,Illinois,COOK,Otto Mall
Chicago Heights,IL,Illinois,COOK,Chicago Hts
Chicago Heights,IL,Illinois,COOK,Ford Heights
Chicago Heights,IL,Illinois,COOK,Sauk Village
Chicago Heights,IL,Illinois,COOK,South Chicago Heights
Chicago Heights,IL,Illinois,COOK,S Chicago Hei
Chicago Ridge,IL,Illinois,COOK,Chicago Ridge
Coal City,IL,Illinois,GRUNDY,Eileen
Coal City,IL,Illinois,GRUNDY,Coal City
Coal City,IL,Illinois,GRUNDY,Diamond
Coal City,IL,Illinois,GRUNDY,Carbon Hill
Crete,IL,Illinois,WILL,Crete
Dolton,IL,Illinois,COOK,Dolton
Dwight,IL,Illinois,LIVINGSTON,Dwight
Elwood,IL,Illinois,WILL,Elwood
Flossmoor,IL,Illinois,COOK,Homewood
Flossmoor,IL,Illinois,COOK,Flossmoor
Frankfort,IL,Illinois,WILL,Frankfort
Gardner,IL,Illinois,GRUNDY,Gardner
Glenwood,IL,Illinois,COOK,Glenwood
Harvey,IL,Illinois,COOK,Phoenix
Harvey,IL,Illinois,COOK,Markham
Harvey,IL,Illinois,COOK,Harvey
Harvey,IL,Illinois,COOK,Dixmoor
Markham,IL,Illinois,COOK,Markham
Markham,IL,Illinois,COOK,Harvey
Hazel Crest,IL,Illinois,COOK,Hazel Crest
Hazel Crest,IL,Illinois,COOK,East Hazel Crest
Homewood,IL,Illinois,COOK,Homewood
Joliet,IL,Illinois,WILL,Shorewood
Joliet,IL,Illinois,WILL,Joliet
Joliet,IL,Illinois,WILL,Downtown Joliet
Joliet,IL,Illinois,WILL,Stateville
Joliet,IL,Illinois,WILL,Crest Hill
Joliet,IL,Illinois,WILL,Cresthill
Joliet,IL,Illinois,WILL,Rockdale
Kinsman,IL,Illinois,GRUNDY,Kinsman
Lansing,IL,Illinois,COOK,Lansing
Lemont,IL,Illinois,COOK,Lemont
Bolingbrook,IL,Illinois,WILL,Bolingbrook
Lockport,IL,Illinois,WILL,Lockport
Lockport,IL,Illinois,WILL,Homer Glen
Manhattan,IL,Illinois,WILL,Wilton Center
Manhattan,IL,Illinois,WILL,Manhattan
Matteson,IL,Illinois,COOK,Matteson
Mazon,IL,Illinois,GRUNDY,Mazon
Midlothian,IL,Illinois,COOK,Midlothian
Midlothian,IL,Illinois,COOK,Crestwood
Romeoville,IL,Illinois,WILL,Romeoville
Romeoville,IL,Illinois,WILL,Lockport
Minooka,IL,Illinois,GRUNDY,Minooka
Mokena,IL,Illinois,WILL,Mokena
Monee,IL,Illinois,WILL,Monee
Morris,IL,Illinois,GRUNDY,Morris
New Lenox,IL,Illinois,WILL,New Lenox
Oak Forest,IL,Illinois,COOK,Oak Forest
Oak Lawn,IL,Illinois,COOK,Oak Lawn
Bridgeview,IL,Illinois,COOK,Bridgeview
Bridgeview,IL,Illinois,COOK,Oak Lawn
Bridgeview,IL,Illinois,COOK,Bedford Park
Hometown,IL,Illinois,COOK,Oak Lawn
Hometown,IL,Illinois,COOK,Hometown
Hickory Hills,IL,Illinois,COOK,Hickory Hills
Hickory Hills,IL,Illinois,COOK,Oak Lawn
Justice,IL,Illinois,COOK,Justice
Justice,IL,Illinois,COOK,Oak Lawn
Justice,IL,Illinois,COOK,Bedford Park
Burbank,IL,Illinois,COOK,Burbank
Burbank,IL,Illinois,COOK,Oak Lawn
Burbank,IL,Illinois,COOK,Bedford Park
Odell,IL,Illinois,LIVINGSTON,Odell
